window_start,train_loss,eval_loss,mae,rmse,r2
0,0.19889416694641113,0.1531294584274292,0.072597436606884,0.11275789615583333,0.8955137133598328
6,0.17071070008807712,0.1546856015920639,0.0738382488489151,0.11377806897524397,0.8874495625495911
12,0.16821270995669896,0.15395031869411469,0.07269509136676788,0.11378245218931075,0.8796517848968506
18,0.16894748131434123,0.15412241220474243,0.07467668503522873,0.11531814262235768,0.8684839010238647
24,0.1657556160291036,0.1567426472902298,0.07289397716522217,0.11322703790798466,0.8663341403007507
30,0.16094652758704292,0.1544751524925232,0.06992600113153458,0.10643167145842916,0.8735469579696655
36,0.16213544527689616,0.1533060073852539,0.06609970331192017,0.08864730839150178,0.9117493629455566
42,0.16082264873716567,0.1494157612323761,0.06469397991895676,0.08650457971069125,0.9159567952156067
48,0.1625600708855523,0.14824776351451874,0.06519856303930283,0.08659836676314418,0.9159005284309387
54,0.1627355514632331,0.14860846102237701,0.06465912610292435,0.08605654826167622,0.916987955570221
60,0.16306799385282728,0.15001939237117767,0.06442763656377792,0.08538436608441692,0.9183976650238037
66,0.16353275034162734,0.14897610247135162,0.063210129737854,0.08381974918795916,0.9215874075889587
72,0.1615371741188897,0.15031057596206665,0.0634022206068039,0.08408588828124665,0.9214231967926025
78,0.1580683782365587,0.14932383596897125,0.06289304792881012,0.08330021575163359,0.923484742641449
84,0.15873696592119005,0.1489104926586151,0.0626714825630188,0.08317480400008323,0.9241110682487488
90,0.15857427173190647,0.15603075921535492,0.06291338801383972,0.0836828107214509,0.9236069917678833
96,0.15627499421437582,0.15570664405822754,0.06151316314935684,0.08160860024449089,0.9276856184005737
102,0.15589509513643052,0.1555112600326538,0.06235546991229057,0.08263280249764461,0.9258736968040466
108,0.15647141218185426,0.15211516618728638,0.06041862815618515,0.07787284391286384,0.9330041408538818
114,0.1573636958334181,0.14905790984630585,0.05984644591808319,0.07746502346587165,0.9319790601730347
120,0.15454797850714788,0.15464062988758087,0.06397736072540283,0.0816126713968003,0.9224101901054382
126,0.15381850560506186,0.15115758776664734,0.06157507747411728,0.07889894154194338,0.9260444045066833
